                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.1343,                0.54807,                  1.042,                0.79909,                0.74091,                0.76076,                0.45753,                 1.5149,                0.78185,                 1.3456,              0.0085857,              0.0085857,              0.0085857
                     12,                 1.1393,                  0.548,                 1.0477,                0.82517,                0.75485,                0.77706,                0.47205,                 1.4797,                0.78098,                 1.3172,              0.0084443,              0.0084443,              0.0084443
                     13,                  1.133,                0.54588,                 1.0395,                  0.831,                0.75456,                0.78776,                0.48388,                 1.4537,                0.76734,                 1.3161,              0.0083029,              0.0083029,              0.0083029
                     14,                 1.1316,                0.54007,                 1.0387,                0.84471,                0.74778,                0.78459,                0.47282,                  1.477,                0.76949,                 1.3253,              0.0081614,              0.0081614,              0.0081614
                     15,                 1.1303,                 0.5384,                 1.0399,                0.79641,                 0.7646,                0.77044,                0.47209,                 1.4589,                0.77509,                 1.3195,                0.00802,                0.00802,                0.00802
                     16,                 1.1205,                 0.5362,                 1.0388,                0.80628,                0.76286,                 0.7813,                0.49557,                 1.4631,                0.75822,                 1.3122,              0.0078786,              0.0078786,              0.0078786
                     17,                 1.1195,                0.53405,                 1.0374,                0.86131,                0.75745,                0.79935,                0.49529,                 1.4499,                0.74392,                 1.3053,              0.0077371,              0.0077371,              0.0077371
                     18,                   1.12,                0.53193,                 1.0356,                0.85881,                0.77289,                0.80526,                0.49613,                 1.4375,                0.73776,                 1.2824,              0.0075957,              0.0075957,              0.0075957
                     19,                 1.1139,                0.53369,                 1.0381,                0.83185,                0.77402,                0.80041,                0.49799,                 1.4447,                0.74116,                 1.2889,              0.0074543,              0.0074543,              0.0074543
                     20,                 1.1081,                0.52982,                  1.032,                0.85748,                 0.7599,                0.79932,                0.49731,                 1.4526,                0.73833,                 1.2908,              0.0073129,              0.0073129,              0.0073129
                     21,                 1.1095,                0.52966,                 1.0322,                0.83259,                0.77339,                 0.8007,                0.50461,                 1.4287,                0.71491,                 1.3061,              0.0071714,              0.0071714,              0.0071714
                     22,                 1.1042,                0.52591,                   1.03,                0.83639,                0.77079,                 0.8025,                0.50557,                 1.4321,                0.72912,                 1.3004,                0.00703,                0.00703,                0.00703
                     23,                  1.101,                0.52511,                 1.0274,                0.85368,                0.77186,                0.80668,                0.50711,                 1.4362,                 0.7247,                 1.2927,              0.0068886,              0.0068886,              0.0068886
                     24,                  1.097,                0.52274,                 1.0281,                0.84789,                0.76552,                 0.8044,                0.50931,                  1.412,                0.71151,                 1.2972,              0.0067471,              0.0067471,              0.0067471
                     25,                 1.0856,                0.51421,                 1.0222,                0.87292,                 0.7714,                0.81429,                0.51581,                 1.4151,                0.69848,                 1.2841,              0.0066057,              0.0066057,              0.0066057
                     26,                 1.0906,                0.52146,                 1.0233,                0.87404,                0.76516,                0.81033,                0.51267,                 1.3992,                0.70792,                 1.2923,              0.0064643,              0.0064643,              0.0064643
                     27,                 1.0875,                0.51888,                  1.025,                0.85644,                0.77653,                 0.8129,                0.51285,                  1.401,                0.70052,                  1.268,              0.0063229,              0.0063229,              0.0063229
                     28,                 1.0785,                 0.5102,                  1.022,                0.87502,                0.76874,                0.81139,                0.50835,                 1.4161,                0.69669,                 1.2742,              0.0061814,              0.0061814,              0.0061814
                     29,                 1.0825,                0.51016,                 1.0219,                0.88253,                 0.7781,                0.82274,                0.51657,                   1.41,                0.69702,                 1.2688,                0.00604,                0.00604,                0.00604
                     30,                 1.0741,                0.51038,                 1.0185,                0.87749,                0.76662,                0.81423,                0.51418,                 1.4024,                0.70121,                  1.287,              0.0058986,              0.0058986,              0.0058986
                     31,                 1.0723,                0.51046,                 1.0196,                0.87202,                0.77096,                0.81572,                0.52065,                 1.3955,                0.70175,                 1.2769,              0.0057571,              0.0057571,              0.0057571
                     32,                  1.067,                0.50632,                 1.0142,                0.87959,                0.77225,                0.81692,                0.52203,                 1.3974,                0.69706,                 1.2773,              0.0056157,              0.0056157,              0.0056157
                     33,                 1.0672,                0.50584,                 1.0169,                0.88259,                0.77398,                0.81739,                 0.5191,                 1.3892,                 0.6993,                 1.2831,              0.0054743,              0.0054743,              0.0054743
                     34,                 1.0615,                0.50452,                 1.0131,                0.87671,                0.77694,                0.81849,                0.52402,                 1.3892,                0.69222,                  1.278,              0.0053329,              0.0053329,              0.0053329
                     35,                 1.0572,                0.49832,                 1.0123,                0.88473,                0.77185,                 0.8185,                  0.524,                 1.4025,                0.68853,                 1.2774,              0.0051914,              0.0051914,              0.0051914
                     36,                 1.0594,                0.49974,                  1.012,                  0.882,                0.77693,                0.82017,                0.52512,                  1.403,                0.68394,                 1.2776,                0.00505,                0.00505,                0.00505
                     37,                 1.0503,                0.49385,                 1.0089,                 0.8872,                0.77659,                 0.8177,                0.52477,                 1.3973,                0.68361,                 1.2767,              0.0049086,              0.0049086,              0.0049086
                     38,                 1.0387,                0.49009,                 1.0058,                0.88364,                 0.7756,                0.81773,                0.52506,                 1.4014,                0.67962,                 1.2783,              0.0047671,              0.0047671,              0.0047671
                     39,                 1.0372,                0.48821,                 1.0058,                0.88205,                0.77856,                0.82372,                0.52755,                 1.3967,                0.67659,                 1.2744,              0.0046257,              0.0046257,              0.0046257
                     40,                 1.0376,                0.48769,                 1.0037,                0.87494,                0.78054,                0.82349,                0.52858,                 1.3936,                0.66985,                 1.2731,              0.0044843,              0.0044843,              0.0044843
                     41,                 1.0324,                0.48598,                  1.002,                0.86977,                0.77807,                0.82099,                0.53017,                  1.397,                0.67188,                 1.2703,              0.0043429,              0.0043429,              0.0043429
                     42,                 1.0381,                0.48578,                 1.0058,                0.88865,                0.77185,                0.82071,                0.52924,                 1.3934,                0.66935,                 1.2719,              0.0042014,              0.0042014,              0.0042014
                     43,                 1.0218,                0.48061,                 1.0001,                0.89552,                0.76883,                0.81883,                0.53058,                 1.3878,                0.66819,                 1.2711,                0.00406,                0.00406,                0.00406
                     44,                 1.0277,                0.48002,                0.99828,                0.89953,                0.77083,                0.81896,                0.52945,                 1.3849,                0.66711,                 1.2718,              0.0039186,              0.0039186,              0.0039186
                     45,                 1.0149,                0.47681,                 0.9936,                 0.9017,                0.77293,                0.82169,                0.52867,                 1.3832,                 0.6667,                  1.272,              0.0037771,              0.0037771,              0.0037771
                     46,                 1.0203,                0.47676,                0.99642,                 0.9075,                 0.7743,                0.82467,                0.52797,                 1.3827,                0.66551,                 1.2701,              0.0036357,              0.0036357,              0.0036357
                     47,                 1.0105,                0.47383,                0.99342,                0.89481,                0.77391,                 0.8227,                0.52756,                 1.3824,                0.66424,                 1.2693,              0.0034943,              0.0034943,              0.0034943
                     48,                 1.0022,                0.47139,                0.99086,                0.89635,                0.77455,                0.82461,                0.52901,                  1.379,                  0.662,                 1.2682,              0.0033529,              0.0033529,              0.0033529
                     49,                0.99513,                0.46376,                0.99039,                0.89469,                0.77405,                0.82392,                0.52989,                 1.3764,                0.66263,                 1.2695,              0.0032114,              0.0032114,              0.0032114
                     50,                0.99776,                0.46483,                0.99043,                0.89865,                0.77228,                0.82314,                0.52865,                 1.3788,                0.66219,                 1.2699,                0.00307,                0.00307,                0.00307
                     51,                0.99134,                0.46152,                0.98497,                0.90134,                0.77444,                0.82438,                0.52895,                 1.3768,                0.66311,                 1.2699,              0.0029286,              0.0029286,              0.0029286
                     52,                0.99088,                0.46162,                0.98389,                0.89999,                0.77426,                0.82303,                0.52945,                 1.3762,                0.66042,                 1.2711,              0.0027871,              0.0027871,              0.0027871
                     53,                0.98373,                0.46061,                0.98509,                0.89771,                0.77513,                0.82291,                0.53004,                 1.3759,                0.66038,                 1.2715,              0.0026457,              0.0026457,              0.0026457
                     54,                0.97752,                0.45554,                0.98288,                0.89542,                0.77421,                0.82237,                 0.5301,                 1.3732,                0.65835,                 1.2721,              0.0025043,              0.0025043,              0.0025043
                     55,                0.96665,                0.45137,                0.97952,                0.89713,                 0.7754,                0.82441,                0.53058,                 1.3734,                0.65847,                 1.2723,              0.0023629,              0.0023629,              0.0023629
                     56,                0.97079,                0.44965,                0.97963,                0.89631,                0.77369,                 0.8222,                0.53076,                 1.3735,                0.65779,                 1.2715,              0.0022214,              0.0022214,              0.0022214
                     57,                0.96551,                0.44667,                0.97861,                0.89762,                0.77451,                0.82376,                0.53121,                 1.3734,                0.65704,                 1.2708,                0.00208,                0.00208,                0.00208
                     58,                0.96004,                0.44366,                0.97588,                 0.8936,                0.77353,                0.82321,                0.53161,                  1.373,                0.65704,                 1.2705,              0.0019386,              0.0019386,              0.0019386
                     59,                0.96139,                0.44363,                0.97832,                0.89722,                0.77379,                0.82474,                0.53246,                 1.3718,                0.65701,                 1.2696,              0.0017971,              0.0017971,              0.0017971
                     60,                0.94905,                0.43881,                0.97298,                0.89742,                0.77433,                0.82542,                0.53316,                 1.3717,                0.65548,                 1.2695,              0.0016557,              0.0016557,              0.0016557
                     61,                0.91388,                0.39631,                0.98124,                0.89742,                 0.7756,                0.82691,                0.53366,                 1.3691,                0.65387,                 1.2691,              0.0015143,              0.0015143,              0.0015143
                     62,                0.89181,                0.38888,                0.97251,                0.89994,                 0.7756,                0.82646,                0.53424,                 1.3691,                0.65246,                 1.2686,              0.0013729,              0.0013729,              0.0013729
                     63,                 0.8899,                0.38765,                 0.9726,                0.90085,                0.77566,                0.82596,                0.53494,                 1.3679,                0.65196,                 1.2678,              0.0012314,              0.0012314,              0.0012314
                     64,                0.88178,                0.38297,                0.96882,                0.90067,                 0.7756,                0.82608,                0.53483,                 1.3672,                0.65112,                 1.2676,                0.00109,                0.00109,                0.00109
                     65,                0.87303,                  0.378,                0.96384,                0.89985,                0.77384,                0.82494,                0.53486,                 1.3659,                0.65122,                 1.2673,             0.00094857,             0.00094857,             0.00094857
                     66,                0.86775,                0.37669,                0.96158,                0.90113,                0.77426,                0.82525,                0.53509,                 1.3651,                 0.6505,                 1.2667,             0.00080714,             0.00080714,             0.00080714
                     67,                0.85513,                0.37255,                0.95853,                0.90509,                0.77484,                0.82583,                0.53523,                 1.3637,                0.64997,                 1.2664,             0.00066571,             0.00066571,             0.00066571
                     68,                0.85257,                0.36977,                0.95733,                0.90168,                0.77368,                 0.8247,                 0.5359,                 1.3639,                0.64962,                 1.2665,             0.00052429,             0.00052429,             0.00052429
                     69,                0.84653,                0.36601,                0.95339,                0.90273,                0.77307,                0.82446,                0.53706,                 1.3624,                0.64916,                 1.2662,             0.00038286,             0.00038286,             0.00038286
                     70,                0.83968,                0.36358,                0.95065,                0.90744,                0.77411,                 0.8252,                0.53702,                 1.3618,                0.64843,                 1.2662,             0.00024143,             0.00024143,             0.00024143
