                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1023,                0.52203,                 1.0327,                0.83939,                 0.7684,                0.79674,                0.48686,                  1.477,                0.74148,                 1.3555,              0.0033282,              0.0033282,              0.0033282
                      2,                 1.0808,                0.50757,                 1.0238,                0.81084,                0.76528,                0.78664,                0.47162,                 1.5148,                0.79441,                 1.3128,              0.0065673,              0.0065673,              0.0065673
                      3,                 1.1091,                0.52583,                 1.0328,                0.80679,                0.75771,                0.77901,                 0.4683,                 1.5238,                0.79437,                 1.3567,              0.0097122,              0.0097122,              0.0097122
                      4,                 1.1615,                0.55835,                 1.0521,                0.83133,                 0.7231,                0.75886,                0.45338,                 1.5347,                0.81603,                 1.3216,              0.0095757,              0.0095757,              0.0095757
                      5,                  1.166,                0.55925,                 1.0556,                0.80108,                0.73181,                0.75936,                 0.4416,                 1.5193,                0.80081,                 1.3519,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.1574,                0.55529,                 1.0503,                0.84813,                0.74508,                0.77938,                0.46532,                 1.4883,                0.79708,                 1.3397,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.1609,                0.55714,                 1.0553,                0.77473,                0.74668,                0.73864,                0.44709,                 1.5093,                0.79971,                 1.3905,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.1514,                0.55367,                 1.0523,                0.80661,                0.76385,                 0.7816,                0.46637,                 1.5128,                0.79055,                 1.3355,                0.00901,                0.00901,                0.00901
                      9,                 1.1547,                0.55723,                 1.0507,                0.79517,                0.75667,                0.76263,                0.46352,                 1.5007,                0.79436,                 1.3386,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.1526,                0.55189,                 1.0479,                0.78882,                0.75496,                0.76405,                0.46724,                 1.4894,                0.79675,                   1.33,              0.0087271,              0.0087271,              0.0087271
