                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5984,                 1.1533,                 1.4203,                0.83961,                 0.7623,                0.78499,                0.45856,                 1.4964,                0.78175,                 1.2446,              0.0033281,              0.0033281,              0.0033281
                      2,                  1.148,                0.53746,                 1.0364,                0.78564,                0.76727,                0.76263,                0.45504,                 1.5051,                0.79491,                 1.2583,              0.0064966,              0.0064966,              0.0064966
                      3,                 1.1425,                0.54063,                 1.0283,                 0.7786,                0.75279,                0.75859,                 0.4623,                 1.4736,                0.83902,                 1.2893,              0.0095001,              0.0095001,              0.0095001
                      4,                 1.1743,                0.56121,                 1.0451,                0.79365,                0.72405,                0.75601,                0.44238,                 1.5242,                0.83176,                 1.3133,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.1732,                0.55695,                 1.0424,                0.78121,                0.73997,                0.74441,                 0.4526,                 1.5663,                0.81887,                 1.3145,                0.00901,                0.00901,                0.00901
                      6,                 1.1719,                0.55626,                 1.0394,                0.78268,                0.75217,                0.76297,                0.45545,                 1.5378,                 0.8122,                  1.275,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.1513,                0.54555,                 1.0347,                0.82569,                0.73799,                0.77104,                0.45812,                 1.4945,                0.79885,                 1.2992,               0.008515,               0.008515,               0.008515
