                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
47,1.2489,0.58806,1.0626,0.84606,0.75613,0.79071,0.46863,1.5787,0.78272,1.336,0.008482,0.008482,0.008482
48,1.2494,0.58825,1.0596,0.84498,0.75679,0.79076,0.4694,1.5787,0.78257,1.3375,0.008449,0.008449,0.008449
49,1.2572,0.59344,1.0623,0.83833,0.75512,0.79014,0.46915,1.5833,0.78629,1.3375,0.008416,0.008416,0.008416
50,1.2489,0.59156,1.0614,0.84266,0.75558,0.789,0.46851,1.5858,0.7806,1.3397,0.008383,0.008383,0.008383
51,1.2526,0.58658,1.0642,0.84849,0.7563,0.79002,0.46835,1.5857,0.78012,1.3374,0.00835,0.00835,0.00835
52,1.2508,0.59141,1.0618,0.85188,0.75691,0.7906,0.46967,1.584,0.77951,1.3359,0.008317,0.008317,0.008317
53,1.2393,0.58112,1.0584,0.85135,0.75691,0.79091,0.46991,1.5856,0.77692,1.3354,0.008284,0.008284,0.008284
54,1.2369,0.58383,1.0552,0.85083,0.75858,0.79149,0.46897,1.585,0.77461,1.335,0.008251,0.008251,0.008251
55,1.2366,0.57686,1.0531,0.85838,0.75631,0.79009,0.46965,1.5873,0.77422,1.3349,0.008218,0.008218,0.008218
56,1.2409,0.58287,1.0592,0.85888,0.75989,0.79306,0.4718,1.5845,0.77387,1.3333,0.008185,0.008185,0.008185
57,1.2374,0.58151,1.0559,0.85182,0.7586,0.79033,0.47015,1.5845,0.77144,1.3327,0.008152,0.008152,0.008152
58,1.2312,0.57556,1.0566,0.85272,0.75801,0.78992,0.46872,1.5856,0.77029,1.3335,0.008119,0.008119,0.008119
59,1.2274,0.57463,1.0503,0.85676,0.7586,0.79183,0.46973,1.5842,0.76971,1.3336,0.008086,0.008086,0.008086
60,1.229,0.57996,1.051,0.86036,0.7591,0.79241,0.47,1.5792,0.7683,1.3323,0.008053,0.008053,0.008053
61,1.2327,0.57662,1.0533,0.85686,0.76058,0.79245,0.47062,1.5758,0.76692,1.3324,0.00802,0.00802,0.00802
62,1.2264,0.57607,1.0501,0.86076,0.76057,0.79383,0.4719,1.5732,0.76668,1.3319,0.007987,0.007987,0.007987
63,1.2228,0.57354,1.0514,0.86172,0.76196,0.79453,0.47146,1.5727,0.7654,1.3313,0.007954,0.007954,0.007954
64,1.2184,0.57361,1.0476,0.86518,0.76157,0.79437,0.47092,1.5727,0.76463,1.3309,0.007921,0.007921,0.007921
65,1.2177,0.57206,1.047,0.86616,0.76157,0.79517,0.47056,1.5702,0.76365,1.33,0.007888,0.007888,0.007888
66,1.2167,0.57119,1.0464,0.86834,0.76157,0.79491,0.47122,1.5701,0.76482,1.3302,0.007855,0.007855,0.007855
